StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,workerID,CongTime_First Click,CongTime_Last Click,CongTime_Page Submit,CongTime_Click Count,IncongTime_First Click,IncongTime_Last Click,IncongTime_Page Submit,IncongTime_Click Count,NoCueTime_First Click,NoCueTime_Last Click,NoCueTime_Page Submit,NoCueTime_Click Count,ProhTouch,ProhTouchTime_First Click,ProhTouchTime_Last Click,ProhTouchTime_Page Submit,ProhTouchTime_Click Count,ProhAway,ProhAwayTime_First Click,ProhAwayTime_Last Click,ProhAwayTime_Page Submit,ProhAwayTime_Click Count,NonexiTruck,NonexiTruckTime_First Click,NonexiTruckTime_Last Click,NonexiTruckTime_Page Submit,NonexiTruckTime_Click Count,NonexiBucket,NonexiBucketTime_First Click,NonexiBucketTime_Last Click,NonexiBucketTime_Page Submit,NonexiBucketTime_Click Count,DenialDaxy,DenialDaxyTime_First Click,DenialDaxyTime_Last Click,DenialDaxyTime_Page Submit,DenialDaxyTime_Click Count,DenialZupy,DenialZupyTime_First Click,DenialZupyTime_Last Click,DenialZupyTime_Page Submit,DenialZupyTime_Click Count,Sha,Bei,StudyGoal,comment,catch,mTurkCode,FL_13_DO,FL_9_DO,WordMeaning_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your worker ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David wants to know if he is allowed to touch the object below. 


Mom says: 

(please click the triangle).


Should David stay away from it? Or is it okay for him to touch it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David wants to know if he is allowed to touch the object below. 

Mom says:

(please click the triangle)


Should David stay away from it? Or is it okay for him to touch it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put another object either in the truck or in the bucket below. 

David wants to know where it is.


David asks: ""Is it in the truck?""

Mom says:

  (please click the triangle)


Where is the object? In the truck or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put another object either in the truck or in the bucket below. 

David wants to know where it is.


David asks: ""Is it in the truck?""

Mom says:

  (please click the triangle)


Where is the object? In the truck or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The object below is either zupy or daxy (i.e., a novel property of the object).

 

David asks: ""Is it zupy?""

Mom says:

  (please click the triangle)

 

Is it zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The object below is either zupy or daxy (i.e., a novel property of the object).

 

David asks: ""Is it zupy?""

Mom says:

  (please click the triangle)

 

Is it zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What do you think the word ""Sha"" (  ) means?","What do you think the word ""Bei"" (

) means?",What do you think the study is about?,Do you have any comment or suggestion about the study?,Please select 3 for the question.,mTurkCode,FL_13 - Block Randomizer - Display Order,FL_9 - Block Randomizer - Display Order,WordMeaning - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID22_FIRST_CLICK""}","{""ImportId"":""QID22_LAST_CLICK""}","{""ImportId"":""QID22_PAGE_SUBMIT""}","{""ImportId"":""QID22_CLICK_COUNT""}","{""ImportId"":""QID24_FIRST_CLICK""}","{""ImportId"":""QID24_LAST_CLICK""}","{""ImportId"":""QID24_PAGE_SUBMIT""}","{""ImportId"":""QID24_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_FIRST_CLICK""}","{""ImportId"":""QID6_LAST_CLICK""}","{""ImportId"":""QID6_PAGE_SUBMIT""}","{""ImportId"":""QID6_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31_FIRST_CLICK""}","{""ImportId"":""QID31_LAST_CLICK""}","{""ImportId"":""QID31_PAGE_SUBMIT""}","{""ImportId"":""QID31_CLICK_COUNT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32_FIRST_CLICK""}","{""ImportId"":""QID32_LAST_CLICK""}","{""ImportId"":""QID32_PAGE_SUBMIT""}","{""ImportId"":""QID32_CLICK_COUNT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""FL_13_DO""}","{""ImportId"":""FL_9_DO""}","{""ImportId"":""BL_248dtBvp5GylimN_DO""}"
2019-05-28 17:47:39,2019-05-28 17:51:17,Survey Preview,,100,217,True,2019-05-28 17:51:17,R_z8ysjhWyw8dEVEZ,,,,,37.423004150390625,-122.1638946533203125,preview,EN,CG,,,,,0,0,43.916,0,,,,,Touch it,4.333,4.333,5.764,1,Stay away,11.534,11.534,16.101,1,Truck,4.31,4.31,6.512,1,Bucket,12.836,12.836,15.283,1,Daxy,6.009,6.009,8.901,1,Zupy,5.989,5.989,9.655,1,NO,YES,LOGICAL REASONING AND WORD LEARNING -- MUTUAL EXCLUSIVITY??,,Three,99891,Incong,ProhAway|NonexiBucket|NonexiTruck|DenialZupy|ProhTouch|DenialDaxy,Sha|Bei
2019-05-31 15:41:22,2019-05-31 15:44:30,IP Address,171.66.208.6,100,187,True,2019-05-31 15:44:30,R_Asp5oRvETQvGDIZ,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,yw,0,0,40.34,0,,,,,,,,,,0,0,4.537,0,,0,0,7.437,0,Truck,11.392,11.392,12.643,1,Bucket,14.063,14.063,14.992,1,,5.244,5.244,11.286,1,,0,0,6.763,0,,,,,,294564,Cong,NonexiBucket|DenialDaxy|ProhAway|ProhTouch|DenialZupy|NonexiTruck,Bei|Sha
2019-05-31 15:48:40,2019-05-31 15:50:54,IP Address,50.35.1.5,100,134,True,2019-05-31 15:50:54,R_3hmgWr45IAKUCxC,,,,,47.86199951171875,-122.253204345703125,anonymous,EN,A2E3TO92MCQ9XU,0,0,37.527,0,,,,,,,,,Touch it,3.721,5.808,6.195,3,Stay away,4.27,4.27,5.04,1,Truck,2.232,3.616,4.344,2,Bucket,2.94,5.65,6.589,2,Daxy,9.013,13.396,14.25,2,Zupy,2.674,3.925,4.597,2,no,yes,No idea.,,Three,415142,Cong,DenialDaxy|NonexiBucket|ProhTouch|DenialZupy|ProhAway|NonexiTruck,Sha|Bei
2019-05-31 15:48:40,2019-05-31 15:50:59,IP Address,69.122.193.108,100,138,True,2019-05-31 15:50:59,R_UtGO5X2PLT56n29,,,,,40.8246002197265625,-73.81500244140625,anonymous,EN,A1VAL7L9L79IN0,,,,,0,0,38.586,0,,,,,Touch it,4.096,4.096,5.256,1,Stay away,3.234,3.234,6.801,1,Truck,2.018,2.018,3.923,1,Bucket,6.924,6.924,8.285,1,Daxy,3.417,3.417,4.128,1,Zupy,2.674,2.674,3.908,1,No,Yes,How we learn foreign languages.,No,Three,427663,Incong,NonexiBucket|DenialZupy|DenialDaxy|ProhAway|NonexiTruck|ProhTouch,Sha|Bei
2019-05-31 15:48:53,2019-05-31 15:51:14,IP Address,73.173.103.253,100,140,True,2019-05-31 15:51:14,R_27fbNxNfPodeSNa,,,,,39.21240234375,-76.87760162353515625,anonymous,EN,A272X64FOZFYLB,0,0,41.451,0,,,,,,,,,Touch it,3.381,5.902,9.474,2,Stay away,4.032,4.472,5.778,2,Truck,3.383,5.133,5.961,2,Bucket,3.196,3.196,4.39,1,Daxy,4.628,5.74,6.638,2,Zupy,16.147,16.147,17.252,1,No,Yes,No clue.,,Three,377484,Cong,DenialZupy|NonexiTruck|ProhTouch|DenialDaxy|ProhAway|NonexiBucket,Bei|Sha
2019-05-31 15:48:55,2019-05-31 15:51:21,IP Address,97.113.17.157,100,146,True,2019-05-31 15:51:21,R_BQYo6bGK2NqJzdn,,,,,47.645904541015625,-122.399505615234375,anonymous,EN,AAIQLE701DI9U,0,0,44.573,0,,,,,,,,,Touch it,3.181,3.181,3.864,1,Stay away,2.274,2.274,3.305,1,Truck,1.612,1.612,2.906,1,Bucket,1.662,1.662,2.3,1,Daxy,2.067,2.067,2.568,1,Zupy,4.521,4.521,5.708,1,No,Yes,How we interpret a new language.,No issues to report.,Three,262169,Cong,DenialZupy|DenialDaxy|ProhAway|NonexiTruck|NonexiBucket|ProhTouch,Sha|Bei
2019-05-31 15:48:27,2019-05-31 15:51:27,IP Address,12.176.124.3,100,179,True,2019-05-31 15:51:27,R_3PnvpnIjk9SDLgQ,,,,,34.14129638671875,-118.6598968505859375,anonymous,EN,AD0NVUGLDYDYN,,,,,0,0,41.302,0,,,,,Touch it,4.412,10.451,15.949,2,Stay away,0.803,6.496,7.527,2,Truck,5.195,5.195,7.159,1,Bucket,11.444,11.444,12.082,1,Daxy,0.817,5.63,7.912,2,Zupy,15.336,16.663,17.686,2,no,yes,language learning,no,Three,602332,Incong,DenialZupy|NonexiBucket|ProhTouch|NonexiTruck|DenialDaxy|ProhAway,Bei|Sha
2019-05-31 15:49:48,2019-05-31 15:51:38,IP Address,98.176.238.152,100,109,True,2019-05-31 15:51:38,R_6ietrYheeQP1trX,,,,,32.57989501953125,-117.06939697265625,anonymous,EN,A39Q4SNT7SRK94,42.299,42.299,43.193,1,,,,,,,,,Stay away,1.068,1.068,1.271,1,Touch it,2.564,3.658,7.509,2,Bucket,1.391,1.391,4.418,1,Truck,3.791,3.791,4.126,1,Zupy,1.018,1.018,1.083,1,Daxy,1.062,1.062,1.154,1,stay,touch,Decision making,No,Three,27184,Cong,NonexiTruck|NonexiBucket|ProhAway|DenialZupy|DenialDaxy|ProhTouch,Bei|Sha
