StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,workerID,CongTime_First Click,CongTime_Last Click,CongTime_Page Submit,CongTime_Click Count,IncongTime_First Click,IncongTime_Last Click,IncongTime_Page Submit,IncongTime_Click Count,NoCueTime_First Click,NoCueTime_Last Click,NoCueTime_Page Submit,NoCueTime_Click Count,ProhAway,ProhAwayTime_First Click,ProhAwayTime_Last Click,ProhAwayTime_Page Submit,ProhAwayTime_Click Count,ProhTouch,ProhTouchTime_First Click,ProhTouchTime_Last Click,ProhTouchTime_Page Submit,ProhTouchTime_Click Count,NonexiBucket,NonexiBucketTime_First Click,NonexiBucketTime_Last Click,NonexiBucketTime_Page Submit,NonexiBucketTime_Click Count,NonexiTruck,NonexiTruckTime_First Click,NonexiTruckTime_Last Click,NonexiTruckTime_Page Submit,NonexiTruckTime_Click Count,DenialZupy,DenialZupyTime_First Click,DenialZupyTime_Last Click,DenialZupyTime_Page Submit,DenialZupyTime_Click Count,DenialDaxy,DenialDaxyTime_First Click,DenialDaxyTime_Last Click,DenialDaxyTime_Page Submit,DenialDaxyTime_Click Count,Sha,Bei,StudyGoal,comment,catch,mTurkCode,FL_13_DO,FL_9_DO,WordMeaning_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your worker ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David wants to know if he is allowed to touch the object below. 


Mom says: 

(please click the triangle).


Should David stay away from it? Or is it okay for him to touch it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David wants to know if he is allowed to touch the object below. 

Mom says:

(please click the triangle)


Should David stay away from it? Or is it okay for him to touch it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put another object either in the truck or in the bucket below. 

David wants to know where it is.


David asks: ""Is it in the truck?""

Mom says:

  (please click the triangle)


Where is the object? In the truck or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put another object either in the truck or in the bucket below. 

David wants to know where it is.


David asks: ""Is it in the truck?""

Mom says:

  (please click the triangle)


Where is the object? In the truck or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The object below is either zupy or daxy (i.e., a novel property of the object).

 

David asks: ""Is it zupy?""

Mom says:

  (please click the triangle)

 

Is it zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The object below is either zupy or daxy (i.e., a novel property of the object).

 

David asks: ""Is it zupy?""

Mom says:

  (please click the triangle)

 

Is it zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What do you think the word ""Sha"" (  ) means?","What do you think the word ""Bei"" (

) means?",What do you think the study is about?,Do you have any comment or suggestion about the study?,Please select 3 for the question.,mTurkCode,FL_13 - Block Randomizer - Display Order,FL_9 - Block Randomizer - Display Order,WordMeaning - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID22_FIRST_CLICK""}","{""ImportId"":""QID22_LAST_CLICK""}","{""ImportId"":""QID22_PAGE_SUBMIT""}","{""ImportId"":""QID22_CLICK_COUNT""}","{""ImportId"":""QID24_FIRST_CLICK""}","{""ImportId"":""QID24_LAST_CLICK""}","{""ImportId"":""QID24_PAGE_SUBMIT""}","{""ImportId"":""QID24_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_FIRST_CLICK""}","{""ImportId"":""QID6_LAST_CLICK""}","{""ImportId"":""QID6_PAGE_SUBMIT""}","{""ImportId"":""QID6_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31_FIRST_CLICK""}","{""ImportId"":""QID31_LAST_CLICK""}","{""ImportId"":""QID31_PAGE_SUBMIT""}","{""ImportId"":""QID31_CLICK_COUNT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32_FIRST_CLICK""}","{""ImportId"":""QID32_LAST_CLICK""}","{""ImportId"":""QID32_PAGE_SUBMIT""}","{""ImportId"":""QID32_CLICK_COUNT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""FL_13_DO""}","{""ImportId"":""FL_9_DO""}","{""ImportId"":""BL_248dtBvp5GylimN_DO""}"
2019-05-31 17:10:54,2019-05-31 17:14:04,Survey Preview,,100,189,True,2019-05-31 17:14:04,R_2DYt4GXSuwPEdwK,,,,,37.423004150390625,-122.1638946533203125,preview,EN,yw,,,,,,,,,0,0,42.983,0,,0,0,15.301,0,,0,0,10.5,0,,0,0,16.859,0,,0,0,15.388,0,,0,0,11.705,0,,0,0,10.225,0,,,,,,920723,NoCue,NonexiTruck|DenialDaxy|ProhAway|DenialZupy|NonexiBucket|ProhTouch,Sha|Bei
2019-05-31 18:31:07,2019-05-31 18:32:38,IP Address,171.66.208.6,100,90,True,2019-05-31 18:32:38,R_12s45T0ad1peH4p,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,yw,0,0,39.928,0,,,,,,,,,,0,0,4.423,0,,0,0,4.265,0,,0,0,3.07,0,,0.449,0.449,5.1,1,,0,0,2.583,0,,0,0,2.7,0,,,,,,37397,Cong,NonexiTruck|ProhAway|ProhTouch|DenialDaxy|DenialZupy|NonexiBucket,Bei|Sha
2019-05-31 18:35:34,2019-05-31 18:37:25,IP Address,100.12.84.61,100,111,True,2019-05-31 18:37:25,R_33xbXBkwnwO4URs,,,,,40.7364044189453125,-73.86949920654296875,anonymous,EN,A28KO6ERL8TYNT,0,0,35.665,0,,,,,,,,,Stay away,7.244,7.244,8.421,1,Touch it,2.61,3.595,4.207,3,Bucket,3.593,3.909,4.386,2,Truck,2.212,2.352,2.949,2,Zupy,2.077,4.049,4.546,3,Daxy,4.415,5.061,6.502,2,yes,no,new language,,Three,752267,Cong,ProhAway|NonexiBucket|NonexiTruck|DenialDaxy|DenialZupy|ProhTouch,Sha|Bei
2019-05-31 18:35:23,2019-05-31 18:37:28,IP Address,72.220.195.220,100,124,True,2019-05-31 18:37:28,R_1FfRIWDGEWw1IkE,,,,,32.7404937744140625,-117.09349822998046875,anonymous,EN,A26NGLGGFTATVN,,,,,0,0,36.734,0,,,,,Stay away,6.118,6.118,7.271,1,Touch it,4,4,6.666,1,Bucket,0.595,3.439,4.412,2,Truck,3.092,3.092,3.912,1,Zupy,10.271,11.812,12.787,2,Daxy,3.432,3.432,4.649,1,Yes,No,Thoughts on sound interpretations,,Three,431038,Incong,DenialZupy|ProhAway|DenialDaxy|NonexiTruck|ProhTouch|NonexiBucket,Sha|Bei
2019-05-31 18:35:36,2019-05-31 18:38:23,IP Address,73.253.80.168,100,167,True,2019-05-31 18:38:24,R_1r2rn9Is0UP1Z76,,,,,42.336395263671875,-71.03260040283203125,anonymous,EN,A3QVZ4SZB79D8W,,,,,,,,,35.614,35.614,35.87,1,Touch it,0.476,0.476,1.592,1,Touch it,1.503,1.503,3.097,1,Truck,13,26.876,28.092,4,Bucket,3.671,3.671,4.202,1,Zupy,4.219,6.999,7.661,2,Daxy,2.104,2.104,2.667,1,yes,no,,,Three,317963,NoCue,NonexiBucket|NonexiTruck|DenialZupy|ProhTouch|ProhAway|DenialDaxy,Bei|Sha
2019-05-31 18:35:44,2019-05-31 18:38:31,IP Address,24.179.35.131,100,167,True,2019-05-31 18:38:31,R_3F3AR3zR2a2QnBN,,,,,32.54840087890625,-85.46820068359375,anonymous,EN,A5P5BCZ0IHGTT,0,0,39.774,0,,,,,,,,,Stay away,12.502,12.502,14.628,1,Touch it,5.258,5.258,6.725,1,Bucket,11.792,15.704,17.772,2,Truck,4.606,4.606,5.865,1,Zupy,5.833,7.77,9.29,2,Daxy,3.728,3.728,4.815,1,Yes,No,No idea,none,Three,136771,Cong,NonexiBucket|ProhAway|DenialZupy|ProhTouch|NonexiTruck|DenialDaxy,Sha|Bei
2019-05-31 18:35:41,2019-05-31 18:38:37,IP Address,65.220.84.101,100,176,True,2019-05-31 18:38:38,R_oZeVIDk3mowzzkl,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,AMJ03G9G9DTUS,,,,,0,0,56.213,0,,,,,Touch it,5.139,5.139,6.058,1,Stay away,3.329,3.329,4.311,1,Truck,3.574,3.574,4.882,1,Truck,3.04,3.04,12.752,1,Daxy,3.505,3.86,4.892,2,Zupy,3.817,3.817,5.049,1,boy,girl,watch video,good,Three,885214,Incong,NonexiBucket|ProhAway|DenialDaxy|NonexiTruck|ProhTouch|DenialZupy,Sha|Bei
2019-05-31 18:35:19,2019-05-31 18:39:23,IP Address,192.171.19.130,100,244,True,2019-05-31 18:39:24,R_2ZCfRPKqp7Cm9K8,,,,,25.7805938720703125,-80.1826019287109375,anonymous,EN,A3HB980XHBF7RA,,,,,,,,,0,0,52.735,0,Stay away,3.452,3.452,3.698,1,Touch it,1.974,1.974,3.687,1,Truck,2.247,2.584,4.385,2,Bucket,8.336,27.736,28.577,5,Daxy,0,0,10.601,0,Daxy,11.84,16.482,19.419,4,SHA,GOOD,GOOD,,Three,578307,NoCue,ProhTouch|DenialDaxy|NonexiTruck|DenialZupy|ProhAway|NonexiBucket,Bei|Sha
