StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,workerID,CongTime_First Click,CongTime_Last Click,CongTime_Page Submit,CongTime_Click Count,IncongTime_First Click,IncongTime_Last Click,IncongTime_Page Submit,IncongTime_Click Count,NoCueTime_First Click,NoCueTime_Last Click,NoCueTime_Page Submit,NoCueTime_Click Count,ProhTouch,ProhTouchTime_First Click,ProhTouchTime_Last Click,ProhTouchTime_Page Submit,ProhTouchTime_Click Count,ProhAway,ProhAwayTime_First Click,ProhAwayTime_Last Click,ProhAwayTime_Page Submit,ProhAwayTime_Click Count,NonexiTruck,NonexiTruckTime_First Click,NonexiTruckTime_Last Click,NonexiTruckTime_Page Submit,NonexiTruckTime_Click Count,NonexiBucket,NonexiBucketTime_First Click,NonexiBucketTime_Last Click,NonexiBucketTime_Page Submit,NonexiBucketTime_Click Count,DenialDaxy,DenialDaxyTime_First Click,DenialDaxyTime_Last Click,DenialDaxyTime_Page Submit,DenialDaxyTime_Click Count,DenialZupy,DenialZupyTime_First Click,DenialZupyTime_Last Click,DenialZupyTime_Page Submit,DenialZupyTime_Click Count,Sha,Bei,StudyGoal,comment,catch,mTurkCode,FL_13_DO,FL_9_DO,WordMeaning_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your worker ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David wants to know if he is allowed to touch the object below. 


Mom says: 

(please click the triangle).


Should David stay away from it? Or is it okay for him to touch it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David wants to know if he is allowed to touch the object below. 

Mom says:

(please click the triangle)


Should David stay away from it? Or is it okay for him to touch it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put another object either in the truck or in the bucket below. 

David wants to know where it is.


David asks: ""Is it in the truck?""

Mom says:

  (please click the triangle)


Where is the object? In the truck or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put another object either in the truck or in the bucket below. 

David wants to know where it is.


David asks: ""Is it in the truck?""

Mom says:

  (please click the triangle)


Where is the object? In the truck or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The object below is either zupy or daxy (i.e., a novel property of the object).

 

David asks: ""Is it zupy?""

Mom says:

  (please click the triangle)

 

Is it zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The object below is either zupy or daxy (i.e., a novel property of the object).

 

David asks: ""Is it zupy?""

Mom says:

  (please click the triangle)

 

Is it zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What do you think the word ""Sha"" (  ) means?","What do you think the word ""Bei"" (

) means?",What do you think the study is about?,Do you have any comment or suggestion about the study?,Please select 3 for the question.,mTurkCode,FL_13 - Block Randomizer - Display Order,FL_9 - Block Randomizer - Display Order,WordMeaning - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID22_FIRST_CLICK""}","{""ImportId"":""QID22_LAST_CLICK""}","{""ImportId"":""QID22_PAGE_SUBMIT""}","{""ImportId"":""QID22_CLICK_COUNT""}","{""ImportId"":""QID24_FIRST_CLICK""}","{""ImportId"":""QID24_LAST_CLICK""}","{""ImportId"":""QID24_PAGE_SUBMIT""}","{""ImportId"":""QID24_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_FIRST_CLICK""}","{""ImportId"":""QID6_LAST_CLICK""}","{""ImportId"":""QID6_PAGE_SUBMIT""}","{""ImportId"":""QID6_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31_FIRST_CLICK""}","{""ImportId"":""QID31_LAST_CLICK""}","{""ImportId"":""QID31_PAGE_SUBMIT""}","{""ImportId"":""QID31_CLICK_COUNT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32_FIRST_CLICK""}","{""ImportId"":""QID32_LAST_CLICK""}","{""ImportId"":""QID32_PAGE_SUBMIT""}","{""ImportId"":""QID32_CLICK_COUNT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""FL_13_DO""}","{""ImportId"":""FL_9_DO""}","{""ImportId"":""BL_248dtBvp5GylimN_DO""}"
2019-05-31 19:45:44,2019-05-31 19:47:31,IP Address,171.66.208.6,100,106,True,2019-05-31 19:47:31,R_Q0J6nxSGqSNfcR3,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,yw,0,0,41.702,0,,,,,,,,,,0,0,5.468,0,,0,0,3.45,0,,0,0,4.56,0,,0,0,5.733,0,,0,0,3.302,0,,0,0,3.206,0,,,,,,207672,Cong,NonexiBucket|ProhTouch|ProhAway|DenialDaxy|DenialZupy|NonexiTruck,Sha|Bei
2019-05-31 20:54:12,2019-05-31 20:56:51,IP Address,67.39.144.62,100,159,True,2019-05-31 20:56:52,R_4SIiubGJvqS4snv,,,,,32.821502685546875,-80.05680084228515625,anonymous,EN,A35CL66BEUSJ5Z,,,,,,,,,36.159,36.159,38.226,1,Stay away,2.702,3.355,3.865,2,Touch it,0.046,0.57,1.052,2,Bucket,0.013,0.509,0.861,2,Bucket,0.64,1.262,1.581,2,Zupy,0.369,1.658,2.12,3,Daxy,0.452,0.864,1.17,2,Left,Right,Rating a video,great study,Three,355500,NoCue,ProhTouch|NonexiBucket|DenialDaxy|DenialZupy|ProhAway|NonexiTruck,Sha|Bei
2019-05-31 20:54:45,2019-05-31 20:57:32,IP Address,174.60.24.69,100,167,True,2019-05-31 20:57:32,R_1E0VebJ9UXndoe9,,,,,40.330596923828125,-75.91919708251953125,anonymous,EN,A2VNR6984SDFGQ,,,,,,,,,0,0,42.588,0,Touch it,0.893,2.108,3.324,2,Touch it,9.027,9.027,10.486,1,Bucket,7.851,7.851,9.554,1,Truck,2.31,2.31,4.579,1,Zupy,2.659,2.659,3.629,1,Daxy,2.881,2.881,4.293,1,don't touch,touch,learning languages,none,Three,673762,NoCue,ProhAway|NonexiTruck|NonexiBucket|DenialZupy|DenialDaxy|ProhTouch,Bei|Sha
2019-05-31 20:55:10,2019-05-31 20:57:44,IP Address,69.203.194.200,100,153,True,2019-05-31 20:57:45,R_31vg3XTRYTVOrO6,,,,,40.8527069091796875,-73.93830108642578125,anonymous,EN,A17DXR1QC8GWL8,,,,,,,,,0,0,41.677,0,Touch it,9.356,18.108,19.301,3,Stay away,2.841,7.481,8.467,3,Truck,3.302,3.783,4.758,2,Bucket,7.237,7.237,8.244,1,Daxy,3.808,4.992,5.616,3,Zupy,4.692,4.692,5.676,1,no,yes,language through context clues,fun study,Three,706798,NoCue,ProhTouch|NonexiBucket|DenialZupy|NonexiTruck|ProhAway|DenialDaxy,Sha|Bei
2019-05-31 20:54:28,2019-05-31 20:58:01,IP Address,174.233.12.227,100,213,True,2019-05-31 20:58:02,R_1Ke6hKTQ0fvdOT9,,,,,39.235107421875,-84.45819854736328125,anonymous,EN,A2LQ8GFNN6JXVX,,,,,1.729,27.341,44.089,2,,,,,Touch it,5.696,13.397,14.238,4,Stay away,4.994,6.77,8.302,2,Truck,5.827,6.998,8.135,2,Bucket,6.944,12.149,13.05,4,Daxy,5.295,8.797,9.827,3,Zupy,5.675,26.542,27.876,10,No,Yes,PIcking up on clues to understand another language,,Three,75436,Incong,DenialZupy|NonexiBucket|ProhTouch|NonexiTruck|DenialDaxy|ProhAway,Bei|Sha
2019-05-31 20:54:21,2019-05-31 20:58:02,IP Address,162.229.244.157,100,221,True,2019-05-31 20:58:02,R_OvaAdZpVahZfp3b,,,,,29.6154937744140625,-90.4441986083984375,anonymous,EN,AX5YKKRJ8IMN4,,,,,,,,,0,0,41.566,0,Stay away,9.351,9.351,11.135,1,Touch it,6.955,7.974,10.458,2,Bucket,4.541,4.541,6.204,1,Truck,14.249,27.156,28.308,5,Zupy,4.702,9.761,10.901,2,Daxy,6.73,6.73,8.405,1,yes,no,to see if people can use clues to figure out things,n/a,Three,822442,NoCue,NonexiBucket|ProhTouch|DenialDaxy|DenialZupy|ProhAway|NonexiTruck,Bei|Sha
2019-05-31 20:55:03,2019-05-31 20:58:15,IP Address,98.10.58.230,100,191,True,2019-05-31 20:58:15,R_27OSRoceDhdSGbk,,,,,43.14520263671875,-77.54949951171875,anonymous,EN,A2I4PRZ9IZMKON,,,,,0,0,41.574,0,,,,,Stay away,0.907,9.732,10.934,2,Touch it,1.23,6.673,8.39,3,Bucket,6.34,6.34,7.781,1,Truck,8.405,10.301,11.537,2,Zupy,8.998,17.461,19.392,5,Daxy,7.598,9.426,10.112,3,Yes,No,Language and tone,,Three,441175,Incong,DenialDaxy|NonexiBucket|DenialZupy|NonexiTruck|ProhTouch|ProhAway,Sha|Bei
2019-05-31 20:54:41,2019-05-31 20:58:20,IP Address,69.179.138.16,100,219,True,2019-05-31 20:58:20,R_1CDuoyjGFmyd64g,,,,,38.8040008544921875,-90.85340118408203125,anonymous,EN,A1CWP4G786A6HF,0,0,41.271,0,,,,,,,,,Stay away,4.999,7.92,9.258,2,Touch it,9.535,16.358,17.455,4,Truck,2.523,3.37,5.379,2,Truck,7.174,27.248,28.475,14,Zupy,4.945,6.2,7.366,2,Daxy,4.542,14.375,16.079,5,yes,no,If people can infer other languages using objects,,Three,868486,Cong,ProhTouch|NonexiBucket|DenialZupy|DenialDaxy|ProhAway|NonexiTruck,Sha|Bei
