StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,workerID,CongTime_First Click,CongTime_Last Click,CongTime_Page Submit,CongTime_Click Count,IncongTime_First Click,IncongTime_Last Click,IncongTime_Page Submit,IncongTime_Click Count,NoCueTime_First Click,NoCueTime_Last Click,NoCueTime_Page Submit,NoCueTime_Click Count,ProhAway,ProhAwayTime_First Click,ProhAwayTime_Last Click,ProhAwayTime_Page Submit,ProhAwayTime_Click Count,ProhTouch,ProhTouchTime_First Click,ProhTouchTime_Last Click,ProhTouchTime_Page Submit,ProhTouchTime_Click Count,NonexiBucket,NonexiBucketTime_First Click,NonexiBucketTime_Last Click,NonexiBucketTime_Page Submit,NonexiBucketTime_Click Count,NonexiTruck,NonexiTruckTime_First Click,NonexiTruckTime_Last Click,NonexiTruckTime_Page Submit,NonexiTruckTime_Click Count,DenialZupy,DenialZupyTime_First Click,DenialZupyTime_Last Click,DenialZupyTime_Page Submit,DenialZupyTime_Click Count,DenialDaxy,DenialDaxyTime_First Click,DenialDaxyTime_Last Click,DenialDaxyTime_Page Submit,DenialDaxyTime_Click Count,Sha,Bei,StudyGoal,comment,catch,mTurkCode,FL_13_DO,FL_9_DO,WordMeaning_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your worker ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David wants to know if he is allowed to touch the object below. 


Mom says: 

(please click the triangle).


Should David stay away from it? Or is it okay for him to touch it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David wants to know if he is allowed to touch the object below. 

Mom says:

(please click the triangle)


Should David stay away from it? Or is it okay for him to touch it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put another object either in the truck or in the bucket below. 

David wants to know where it is.


David asks: ""Is it in the truck?""

Mom says:

  (please click the triangle)


Where is the object? In the truck or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put another object either in the truck or in the bucket below. 

David wants to know where it is.


David asks: ""Is it in the truck?""

Mom says:

  (please click the triangle)


Where is the object? In the truck or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The object below is either zupy or daxy (i.e., a novel property of the object).

 

David asks: ""Is it zupy?""

Mom says:

  (please click the triangle)

 

Is it zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The object below is either zupy or daxy (i.e., a novel property of the object).

 

David asks: ""Is it zupy?""

Mom says:

  (please click the triangle)

 

Is it zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What do you think the word ""Sha"" (  ) means?","What do you think the word ""Bei"" (

) means?",What do you think the study is about?,Do you have any comment or suggestion about the study?,Please select 3 for the question.,mTurkCode,FL_13 - Block Randomizer - Display Order,FL_9 - Block Randomizer - Display Order,WordMeaning - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""QID22_FIRST_CLICK""}","{""ImportId"":""QID22_LAST_CLICK""}","{""ImportId"":""QID22_PAGE_SUBMIT""}","{""ImportId"":""QID22_CLICK_COUNT""}","{""ImportId"":""QID24_FIRST_CLICK""}","{""ImportId"":""QID24_LAST_CLICK""}","{""ImportId"":""QID24_PAGE_SUBMIT""}","{""ImportId"":""QID24_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_FIRST_CLICK""}","{""ImportId"":""QID6_LAST_CLICK""}","{""ImportId"":""QID6_PAGE_SUBMIT""}","{""ImportId"":""QID6_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31_FIRST_CLICK""}","{""ImportId"":""QID31_LAST_CLICK""}","{""ImportId"":""QID31_PAGE_SUBMIT""}","{""ImportId"":""QID31_CLICK_COUNT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32_FIRST_CLICK""}","{""ImportId"":""QID32_LAST_CLICK""}","{""ImportId"":""QID32_PAGE_SUBMIT""}","{""ImportId"":""QID32_CLICK_COUNT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""FL_13_DO""}","{""ImportId"":""FL_9_DO""}","{""ImportId"":""BL_248dtBvp5GylimN_DO""}"
2019-05-31 23:38:05,2019-05-31 23:39:45,Survey Preview,,100,100,True,2019-05-31 23:39:45,R_3EL16MSGRpYCmc5,,,,,37.385894775390625,-122.08819580078125,preview,EN,,,,,,,,,,0,0,39.347,0,,4.146,4.146,4.995,1,,0,0,7.485,0,,0,0,4.84,0,,0,0,5.053,0,,0,0,7.022,0,,0,0,4.365,0,,,,,,247611,NoCue,ProhTouch|DenialZupy|ProhAway|NonexiTruck|NonexiBucket|DenialDaxy,Sha|Bei
2019-05-31 23:44:22,2019-05-31 23:46:30,IP Address,73.22.41.249,100,127,True,2019-05-31 23:46:30,R_Ad38nx2Vf2wD769,,,,,41.960205078125,-87.9810028076171875,anonymous,EN,AFHIYW7ATEDNM,,,,,,,,,0,0,41.391,0,Stay away,3.687,3.687,4.896,1,Touch it,4.788,4.788,5.982,1,Bucket,2.73,2.73,3.587,1,Truck,5.575,5.575,6.823,1,Zupy,1.948,1.948,3.347,1,Daxy,3.022,6.967,7.402,4,yes,no,seeing if people can learn simple language from simple actions,no,Three,328171,NoCue,ProhTouch|NonexiTruck|DenialDaxy|NonexiBucket|DenialZupy|ProhAway,Bei|Sha
2019-05-31 23:44:17,2019-05-31 23:46:59,IP Address,107.175.196.238,100,161,True,2019-05-31 23:46:59,R_2Bx3cbESUbFEn2Z,,,,,42.8863983154296875,-78.8780975341796875,anonymous,EN,ASU22CACL123F,,,,,,,,,0,0,54.276,0,Stay away,3.6,3.6,4.639,1,Touch it,3.243,3.243,4.138,1,Bucket,2.299,2.299,3.119,1,Bucket,2.249,2.249,3.133,1,Zupy,3.478,3.478,4.368,1,Daxy,13.194,13.194,14.283,1,,,,,Three,683232,NoCue,DenialDaxy|ProhAway|ProhTouch|NonexiBucket|NonexiTruck|DenialZupy,Sha|Bei
2019-05-31 23:43:52,2019-05-31 23:47:18,IP Address,73.81.151.104,100,205,True,2019-05-31 23:47:18,R_1E6Y4xkBl9r9jV4,,,,,40.0355987548828125,-75.176300048828125,anonymous,EN,A17ZMF7GGP6HKO,,,,,0,0,36.875,0,,,,,Stay away,2.175,3.663,4.919,2,Touch it,2.831,11.408,13.282,3,Bucket,12.021,20.877,23.677,2,Truck,2.466,3.874,5.129,2,Zupy,3.971,7.51,11.518,2,Daxy,0.713,5.216,5.974,3,Yes,Bad,The meaning of a sound based on body language,,Three,730603,Incong,NonexiBucket|DenialZupy|ProhTouch|NonexiTruck|ProhAway|DenialDaxy,Sha|Bei
2019-05-31 23:43:57,2019-05-31 23:47:19,IP Address,71.105.210.110,100,201,True,2019-05-31 23:47:20,R_zYhd0URA7DQIZUt,,,,,40.8690948486328125,-73.919097900390625,anonymous,EN,A2ODEPSKNQJU1,0,0,36.399,0,,,,,,,,,Stay away,5.029,5.029,6.31,1,Touch it,9.839,46.229,47.18,5,Bucket,15.267,15.267,19.779,1,Truck,3.959,3.959,5.27,1,Zupy,3.805,3.805,6.107,1,Daxy,6.219,6.219,8.203,1,Yes,No,To see how we view social cues and language,,Three,814906,Cong,ProhTouch|NonexiBucket|ProhAway|DenialDaxy|DenialZupy|NonexiTruck,Bei|Sha
2019-05-31 23:44:01,2019-05-31 23:47:22,IP Address,196.17.249.86,100,201,True,2019-05-31 23:47:22,R_A1nSn5dPPIbGMz7,,,,,39.099700927734375,-94.5785980224609375,anonymous,EN,A147B5FTAKXVPS,,,,,0,0,59.054,0,,,,,Touch it,3.115,3.115,3.932,1,Touch it,3.616,4.808,5.977,2,Bucket,5.057,6.858,7.539,3,Bucket,3.935,3.935,4.51,1,Daxy,3.705,4.714,5.993,2,Zupy,2.815,2.815,3.8,1,Good babz,Come here,Good," Better",Three,215125,Incong,NonexiBucket|DenialDaxy|ProhTouch|DenialZupy|NonexiTruck|ProhAway,Sha|Bei
2019-05-31 23:43:44,2019-05-31 23:47:43,IP Address,192.234.160.242,100,238,True,2019-05-31 23:47:44,R_2diH8J2lzmqZ1P4,,,,,41.24420166015625,-95.95989990234375,anonymous,EN,A4JNZW5GJ7H9Z,0,0,45.32,0,,,,,,,,,Stay away,9.353,9.353,10.175,1,Touch it,5.606,7.288,8.189,2,Bucket,6.945,6.945,9.947,1,Truck,27.965,27.965,29.718,1,Zupy,12.319,12.319,14.168,1,Daxy,11.579,11.579,12.513,1,Yes,No,"It was easy.  ",The facial cues helped.,Three,851738,Cong,NonexiTruck|DenialZupy|ProhAway|ProhTouch|NonexiBucket|DenialDaxy,Bei|Sha
2019-05-31 23:44:24,2019-05-31 23:47:45,IP Address,47.196.108.221,100,200,True,2019-05-31 23:47:45,R_eG8qKuHgpDkmUeJ,,,,,27.9031982421875,-82.29109954833984375,anonymous,EN,A2IUT0610X9CV0,,,,,,,,,0,0,37.263,0,Stay away,0.201,7.567,9.132,3,Touch it,0.562,3.087,5.044,3,Bucket,0.443,40.624,42.004,7,Truck,1.341,2.501,3.347,3,Zupy,5.449,10.514,12.182,5,Daxy,1.497,5.497,7.527,4,Yes,No,I don't know,,Three,137428,NoCue,DenialZupy|ProhTouch|NonexiBucket|DenialDaxy|NonexiTruck|ProhAway,Bei|Sha
