StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,workerID,Proh_Cong_Time_First Click,Proh_Cong_Time_Last Click,Proh_Cong_Time_Page Submit,Proh_Cong_Time_Click Count,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,Q68_First Click,Q68_Last Click,Q68_Page Submit,Q68_Click Count,Q69_First Click,Q69_Last Click,Q69_Page Submit,Q69_Click Count,Q70_First Click,Q70_Last Click,Q70_Page Submit,Q70_Click Count,Q71_First Click,Q71_Last Click,Q71_Page Submit,Q71_Click Count,Q72_First Click,Q72_Last Click,Q72_Page Submit,Q72_Click Count,Q73_First Click,Q73_Last Click,Q73_Page Submit,Q73_Click Count,Q74_First Click,Q74_Last Click,Q74_Page Submit,Q74_Click Count,Q110_First Click,Q110_Last Click,Q110_Page Submit,Q110_Click Count,Q114_First Click,Q114_Last Click,Q114_Page Submit,Q114_Click Count,Q118_First Click,Q118_Last Click,Q118_Page Submit,Q118_Click Count,Q122_First Click,Q122_Last Click,Q122_Page Submit,Q122_Click Count,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q130_First Click,Q130_Last Click,Q130_Page Submit,Q130_Click Count,Q134_First Click,Q134_Last Click,Q134_Page Submit,Q134_Click Count,Q138_First Click,Q138_Last Click,Q138_Page Submit,Q138_Click Count,Q142_First Click,Q142_Last Click,Q142_Page Submit,Q142_Click Count,ProhTouch,ProhTouchTime_First Click,ProhTouchTime_Last Click,ProhTouchTime_Page Submit,ProhTouchTime_Click Count,ProhAway,ProhAwayTime_First Click,ProhAwayTime_Last Click,ProhAwayTime_Page Submit,ProhAwayTime_Click Count,NonexiTrTruck,NonexiTrTruckTime_First Click,NonexiTrTruckTime_Last Click,NonexiTrTruckTime_Page Submit,NonexiTrTruckTime_Click Count,NonexiTrBucket,NonexiTrBucketTime_First Click,NonexiTrBucketTime_Last Click,NonexiTrBucketTime_Page Submit,NonexiTrBucketTime_Click Count,DenialDaDaxy,DenialDaDaxyTime_First Click,DenialDaDaxyTime_Last Click,DenialDaDaxyTime_Page Submit,DenialDaDaxyTime_Click Count,DenialDaZupy,DenialDaZupyTime_First Click,DenialDaZupyTime_Last Click,DenialDaZupyTime_Page Submit,DenialDaZupyTime_Click Count,NonexiBuBucket,NonexiBuBucketTime_First Click,NonexiBuBucketTime_Last Click,NonexiBuBucketTime_Page Submit,NonexiBuBucketTime_Click Count,NonexiBuTruck,NonexiBuTruckTime_First Click,NonexiBuTruckTime_Last Click,NonexiBuTruckTime_Page Submit,NonexiBuTruckTime_Click Count,DenialZuZupy,DenialZuZupyTime_First Click,DenialZuZupyTime_Last Click,DenialZuZupyTime_Page Submit,DenialZuZupyTime_Click Count,DenialZuDaxy,DenialZuDaxyTime_First Click,DenialZuDaxyTime_Last Click,DenialZuDaxyTime_Page Submit,DenialZuDaxyTime_Click Count,Bei_meaning,Sha_meaning,catch,what about,improving,mTurkCode,Word,TrainingType,Emotions,Create New Field or Choose From Dropdown...,NEcounterbalance,DNcounterbalance
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter worker ID:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David is going to touch this thing.

Mom says: 

(please click the audio button)



So, should David touch this thing, or stay away from it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David is going to touch this thing.

Mom says:

(please click the audio button)



So, should David touch this thing, or stay away from it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put a tufa in either the truck or the bucket.

David wants to know where to find a tufa.

 

He says to his mom, ""I think there is a tufa in the truck"".

Mom says: 

(please click the audio button)

 

So, is there a tufa in the truck, or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put a dihbo in either the truck or the bucket.

David wants to know where to find a dihbo.



He says to his mom, ""I think there is a dihbo in the truck"".

Mom says:
MM
  (please click the audio button)


So, is there a dihbo in the truck, or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In David's mom's language, the thing below could be described as either ""zupy"" or ""daxy"".



David says to his mom, ""I think it's daxy.""

Mom says:

(please click the audio button)



So, is this thing zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In David's mom's language, the thing below could be described as either ""zupy"" or ""daxy"".



David says to his mom, ""I think it's daxy.""

Mom says:

(please click the audio button)



So, is this thing zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put a tufa in either the truck or the bucket.

David wants to know where to find a tufa.

 

He says to his mom, ""I think there is a tufa in the bucket"".

Mom says: 

(please click the audio button)

 

So, is there a tufa in the truck, or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put a dihbo in either the truck or the bucket.

David wants to know where to find a dihbo.



He says to his mom, ""I think there is a dihbo in the bucket"".

Mom says:  
MM
  (please click the audio button)


So, is there a dihbo in the truck, or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In David's mom's language, the thing below could be described as either ""zupy"" or ""daxy"".



David says to his mom, ""I think it's zupy.""

Mom says:

(please click the audio button)



So, is this thing zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In David's mom's language, the thing below could be described as either ""zupy"" or ""daxy"".



David says to his mom, ""I think it's zupy.""

Mom says:

(please click the audio button)



So, is this thing zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What does ""bei "" mean?","What does ""sha "" mean?",Please select 3 for the answer to this question.,What do you think this study is about?,Do you have any suggestions for improving the survey?,mTurkCode,Word,TrainingType,Emotions,Create New Field or Choose From Dropdown...,NEcounterbalance,DNcounterbalance
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID98_FIRST_CLICK""}","{""ImportId"":""QID98_LAST_CLICK""}","{""ImportId"":""QID98_PAGE_SUBMIT""}","{""ImportId"":""QID98_CLICK_COUNT""}","{""ImportId"":""QID99_FIRST_CLICK""}","{""ImportId"":""QID99_LAST_CLICK""}","{""ImportId"":""QID99_PAGE_SUBMIT""}","{""ImportId"":""QID99_CLICK_COUNT""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID104_FIRST_CLICK""}","{""ImportId"":""QID104_LAST_CLICK""}","{""ImportId"":""QID104_PAGE_SUBMIT""}","{""ImportId"":""QID104_CLICK_COUNT""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID110_FIRST_CLICK""}","{""ImportId"":""QID110_LAST_CLICK""}","{""ImportId"":""QID110_PAGE_SUBMIT""}","{""ImportId"":""QID110_CLICK_COUNT""}","{""ImportId"":""QID114_FIRST_CLICK""}","{""ImportId"":""QID114_LAST_CLICK""}","{""ImportId"":""QID114_PAGE_SUBMIT""}","{""ImportId"":""QID114_CLICK_COUNT""}","{""ImportId"":""QID118_FIRST_CLICK""}","{""ImportId"":""QID118_LAST_CLICK""}","{""ImportId"":""QID118_PAGE_SUBMIT""}","{""ImportId"":""QID118_CLICK_COUNT""}","{""ImportId"":""QID122_FIRST_CLICK""}","{""ImportId"":""QID122_LAST_CLICK""}","{""ImportId"":""QID122_PAGE_SUBMIT""}","{""ImportId"":""QID122_CLICK_COUNT""}","{""ImportId"":""QID126_FIRST_CLICK""}","{""ImportId"":""QID126_LAST_CLICK""}","{""ImportId"":""QID126_PAGE_SUBMIT""}","{""ImportId"":""QID126_CLICK_COUNT""}","{""ImportId"":""QID130_FIRST_CLICK""}","{""ImportId"":""QID130_LAST_CLICK""}","{""ImportId"":""QID130_PAGE_SUBMIT""}","{""ImportId"":""QID130_CLICK_COUNT""}","{""ImportId"":""QID134_FIRST_CLICK""}","{""ImportId"":""QID134_LAST_CLICK""}","{""ImportId"":""QID134_PAGE_SUBMIT""}","{""ImportId"":""QID134_CLICK_COUNT""}","{""ImportId"":""QID138_FIRST_CLICK""}","{""ImportId"":""QID138_LAST_CLICK""}","{""ImportId"":""QID138_PAGE_SUBMIT""}","{""ImportId"":""QID138_CLICK_COUNT""}","{""ImportId"":""QID142_FIRST_CLICK""}","{""ImportId"":""QID142_LAST_CLICK""}","{""ImportId"":""QID142_PAGE_SUBMIT""}","{""ImportId"":""QID142_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_FIRST_CLICK""}","{""ImportId"":""QID6_LAST_CLICK""}","{""ImportId"":""QID6_PAGE_SUBMIT""}","{""ImportId"":""QID6_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_FIRST_CLICK""}","{""ImportId"":""QID46_LAST_CLICK""}","{""ImportId"":""QID46_PAGE_SUBMIT""}","{""ImportId"":""QID46_CLICK_COUNT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_FIRST_CLICK""}","{""ImportId"":""QID37_LAST_CLICK""}","{""ImportId"":""QID37_PAGE_SUBMIT""}","{""ImportId"":""QID37_CLICK_COUNT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31_FIRST_CLICK""}","{""ImportId"":""QID31_LAST_CLICK""}","{""ImportId"":""QID31_PAGE_SUBMIT""}","{""ImportId"":""QID31_CLICK_COUNT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32_FIRST_CLICK""}","{""ImportId"":""QID32_LAST_CLICK""}","{""ImportId"":""QID32_PAGE_SUBMIT""}","{""ImportId"":""QID32_CLICK_COUNT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64_FIRST_CLICK""}","{""ImportId"":""QID64_LAST_CLICK""}","{""ImportId"":""QID64_PAGE_SUBMIT""}","{""ImportId"":""QID64_CLICK_COUNT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66_FIRST_CLICK""}","{""ImportId"":""QID66_LAST_CLICK""}","{""ImportId"":""QID66_PAGE_SUBMIT""}","{""ImportId"":""QID66_CLICK_COUNT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68_FIRST_CLICK""}","{""ImportId"":""QID68_LAST_CLICK""}","{""ImportId"":""QID68_PAGE_SUBMIT""}","{""ImportId"":""QID68_CLICK_COUNT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""Word""}","{""ImportId"":""TrainingType""}","{""ImportId"":""Emotions""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""NEcounterbalance""}","{""ImportId"":""DNcounterbalance""}"
12/08/2019 15:50,12/08/2019 15:51,Survey Preview,,100,41,TRUE,12/08/2019 15:51,R_269X53NdH4B30o8,,,,,37.42300415,-122.1638947,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.001,0,,0,0,0.771,0,,,,,,,,,,,,,,,,,,,,,,0,0,0.885,0,,0,0,3.144,0,,0,0,3.187,0,,0,0,1.255,0,,,Three,,,383288,,Denial,,,,
14/08/2019 22:44,14/08/2019 22:49,Survey Preview,,100,286,TRUE,14/08/2019 22:49,R_2xUVCgLOiL1tpGt,,,,,37.76420593,-122.3992996,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.026,49.026,83.048,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,6.38,6.38,7.823,1,Stay away,8.549,8.549,10.375,1,Truck,27.119,27.119,28.948,1,Bucket,32.235,32.235,34.241,1,Daxy,15.982,15.982,17.654,1,Zupy,19.037,19.037,20.928,1,,,,,,,,,,,,,,,,,,,,,,,Three,,,248692,,Denial,No_Cue,,,
18/08/2019 12:16,18/08/2019 12:18,Survey Preview,,100,164,TRUE,18/08/2019 12:18,R_UgOl3RIKtEaS60p,,,,,37.76420593,-122.3992996,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,78.477,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,3.776,3.776,6.22,1,Stay away,2.91,2.91,3.858,1,,,,,,,,,,,,,,,,,,,,,Bucket,8.273,8.273,9.546,1,Bucket,12.276,12.276,13.979,1,Zupy,3.799,3.799,5.338,1,Daxy,3.699,3.699,5.065,1,,,Three,,,750839,original,Denial,Cong,,bucket,zupy
18/08/2019 12:35,18/08/2019 12:37,Survey Preview,,100,102,TRUE,18/08/2019 12:37,R_2dyFf8iKfvaEbrI,,,,,37.81069946,-122.2478943,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.736,59.323,61.634,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,2.458,2.458,3.56,1,Stay away,1.161,1.161,2.379,1,,,,,,,,,,,,,,,,,,,,,Bucket,1.241,1.241,2.482,1,Bucket,1.382,1.382,2.544,1,Daxy,1.158,1.158,2.261,1,Daxy,1.158,1.158,2.398,1,,,,,,387110,original,Denial,Incong,,bucket,zupy
18/08/2019 13:26,18/08/2019 13:29,IP Address,108.28.55.88,100,184,TRUE,18/08/2019 13:29,R_ewFLKBLaQs0ZYAx,,,,,38.813797,-77.1486969,anonymous,EN,A1KH1O9AZ7S642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.498,27.535,74.288,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,6.203,7.299,8.197,3,Stay away,4.235,4.235,5.059,1,Bucket,5.44,7.424,7.72,5,Bucket,4.939,5.597,6.172,2,Daxy,5.607,6.476,6.842,2,Zupy,4.569,4.933,5.701,2,,,,,,,,,,,,,,,,,,,,,no,yes,Three,Not sure,Thanks,754036,original,Denial,Incong,,truck,daxy
18/08/2019 13:27,18/08/2019 13:29,IP Address,167.160.136.195,100,164,TRUE,18/08/2019 13:29,R_2SrkoZ2SUunHjHB,,,,,34.9151001,-81.01290131,anonymous,EN,A35CL66BEUSJ5Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,74.053,0,,,,,Stay away,1.375,1.375,2.346,1,Stay away,0.787,1.086,1.863,2,Bucket,2.271,2.271,2.866,1,Truck,6.7,6.7,7.724,1,Zupy,0.848,0.848,1.539,1,Daxy,9.082,9.082,9.684,1,,,,,,,,,,,,,,,,,,,,,Daxy,Truck,Three,Rating a conversation,,416582,cb,Denial,Neutral,,truck,daxy
18/08/2019 13:26,18/08/2019 13:30,IP Address,72.234.160.168,100,227,TRUE,18/08/2019 13:30,R_ujP5dgSZfHfCNkB,,,,,21.29870605,-157.6985016,anonymous,EN,A1I3QYJJU5ACFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.903,45.925,83.656,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Touch,0.441,6.808,7.537,5,Touch,2.467,7.911,7.956,9,,,,,,,,,,,,,,,,,,,,,Bucket,0.649,4.489,4.963,4,Bucket,6.239,9.22,9.272,4,Zupy,5.265,19.431,19.48,16,Daxy,0.401,3.61,3.938,4,Yes,No,Three,Perception of interaction and language,The play button did not appear on my laptop on chrome at the end so i click on the blank space,791959,original,Denial,Neutral,,bucket,zupy
18/08/2019 13:26,18/08/2019 13:30,IP Address,73.18.156.32,100,233,TRUE,18/08/2019 13:30,R_3oQLMLsmmJrbCP9,,,,,42.27090454,-83.72679901,anonymous,EN,A2XMFTY9WB05U6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,91.554,0,Touch,10.022,12.524,13.342,3,Touch,5.294,5.294,6.434,1,,,,,,,,,,,,,,,,,,,,,Truck,6.219,6.785,7.79,2,Bucket,21.14,21.14,23.236,1,Zupy,6.334,6.334,7.182,1,Zupy,3.935,6.631,7.998,2,No,Yes ,Three,Tones and language ,Not at this time ,973138,cb,Denial,Incong,,bucket,zupy
