StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q150_First Click,Q150_Last Click,Q150_Page Submit,Q150_Click Count,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,Q158_First Click,Q158_Last Click,Q158_Page Submit,Q158_Click Count,Q154_First Click,Q154_Last Click,Q154_Page Submit,Q154_Click Count,Q114_First Click,Q114_Last Click,Q114_Page Submit,Q114_Click Count,ProhTouch,ProhTouchTime_First Click,ProhTouchTime_Last Click,ProhTouchTime_Page Submit,ProhTouchTime_Click Count,ProhAway,ProhAwayTime_First Click,ProhAwayTime_Last Click,ProhAwayTime_Page Submit,ProhAwayTime_Click Count,NonexiTrTruck,NonexiTrTruckTime_First Click,NonexiTrTruckTime_Last Click,NonexiTrTruckTime_Page Submit,NonexiTrTruckTime_Click Count,NonexiTrBucket,NonexiTrBucketTime_First Click,NonexiTrBucketTime_Last Click,NonexiTrBucketTime_Page Submit,NonexiTrBucketTime_Click Count,DenialDaDaxy,DenialDaDaxyTime_First Click,DenialDaDaxyTime_Last Click,DenialDaDaxyTime_Page Submit,DenialDaDaxyTime_Click Count,DenialDaZupy,DenialDaZupyTime_First Click,DenialDaZupyTime_Last Click,DenialDaZupyTime_Page Submit,DenialDaZupyTime_Click Count,NonexiBuBucket,NonexiBuBucketTime_First Click,NonexiBuBucketTime_Last Click,NonexiBuBucketTime_Page Submit,NonexiBuBucketTime_Click Count,NonexiBuTruck,NonexiBuTruckTime_First Click,NonexiBuTruckTime_Last Click,NonexiBuTruckTime_Page Submit,NonexiBuTruckTime_Click Count,DenialZuZupy,DenialZuZupyTime_First Click,DenialZuZupyTime_Last Click,DenialZuZupyTime_Page Submit,DenialZuZupyTime_Click Count,DenialZuDaxy,DenialZuDaxyTime_First Click,DenialZuDaxyTime_Last Click,DenialZuDaxyTime_Page Submit,DenialZuDaxyTime_Click Count,Bei_meaning,Sha_meaning,catch,what about,improving,mTurkCode,Word,TrainingType,Emotions,Create New Field or Choose From Dropdown...,NEcounterbalance,DNcounterbalance
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David is going to touch this thing.
Mom says: 
(please click the audio button)
So, should David touch this thing, or stay away from it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"David is going to touch this thing.
Mom says:
(please click the audio button)
So, should David touch this thing, or stay away from it?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put a tufa in either the truck or the bucket.
David wants to know where to find a tufa.
 
He says to his mom, ""I think there is a tufa in the truck"".
Mom says: 
(please click the audio button)
 
So, is there a tufa in the truck, or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put a dihbo in either the truck or the bucket.
David wants to know where to find a dihbo.
He says to his mom, ""I think there is a dihbo in the truck"".
Mom says:
MM
  (please click the audio button)
So, is there a dihbo in the truck, or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In David's mom's language, the thing below could be described as either ""zupy"" or ""daxy"".
David says to his mom, ""I think it's daxy.""
Mom says:
(please click the audio button)
So, is this thing zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In David's mom's language, the thing below could be described as either ""zupy"" or ""daxy"".
David says to his mom, ""I think it's daxy.""
Mom says:
(please click the audio button)
So, is this thing zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put a tufa in either the truck or the bucket.
David wants to know where to find a tufa.
 
He says to his mom, ""I think there is a tufa in the bucket"".
Mom says: 
(please click the audio button)
 
So, is there a tufa in the truck, or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Mom put a dihbo in either the truck or the bucket.
David wants to know where to find a dihbo.
He says to his mom, ""I think there is a dihbo in the bucket"".
Mom says:  
MM
  (please click the audio button)
So, is there a dihbo in the truck, or in the bucket?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In David's mom's language, the thing below could be described as either ""zupy"" or ""daxy"".
David says to his mom, ""I think it's zupy.""
Mom says:
(please click the audio button)
So, is this thing zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"In David's mom's language, the thing below could be described as either ""zupy"" or ""daxy"".
David says to his mom, ""I think it's zupy.""
Mom says:
(please click the audio button)
So, is this thing zupy or daxy?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What does ""beiξ"" mean?","What does ""sha "" mean?",Please select 3 for the answer to this question.,What do you think this study is about?,Do you have any suggestions for improving the survey?,mTurkCode,Word,TrainingType,Emotions,Create New Field or Choose From Dropdown...,NEcounterbalance,DNcounterbalance
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID150_FIRST_CLICK""}","{""ImportId"":""QID150_LAST_CLICK""}","{""ImportId"":""QID150_PAGE_SUBMIT""}","{""ImportId"":""QID150_CLICK_COUNT""}","{""ImportId"":""QID146_FIRST_CLICK""}","{""ImportId"":""QID146_LAST_CLICK""}","{""ImportId"":""QID146_PAGE_SUBMIT""}","{""ImportId"":""QID146_CLICK_COUNT""}","{""ImportId"":""QID99_FIRST_CLICK""}","{""ImportId"":""QID99_LAST_CLICK""}","{""ImportId"":""QID99_PAGE_SUBMIT""}","{""ImportId"":""QID99_CLICK_COUNT""}","{""ImportId"":""QID158_FIRST_CLICK""}","{""ImportId"":""QID158_LAST_CLICK""}","{""ImportId"":""QID158_PAGE_SUBMIT""}","{""ImportId"":""QID158_CLICK_COUNT""}","{""ImportId"":""QID154_FIRST_CLICK""}","{""ImportId"":""QID154_LAST_CLICK""}","{""ImportId"":""QID154_PAGE_SUBMIT""}","{""ImportId"":""QID154_CLICK_COUNT""}","{""ImportId"":""QID114_FIRST_CLICK""}","{""ImportId"":""QID114_LAST_CLICK""}","{""ImportId"":""QID114_PAGE_SUBMIT""}","{""ImportId"":""QID114_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_FIRST_CLICK""}","{""ImportId"":""QID6_LAST_CLICK""}","{""ImportId"":""QID6_PAGE_SUBMIT""}","{""ImportId"":""QID6_CLICK_COUNT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46_FIRST_CLICK""}","{""ImportId"":""QID46_LAST_CLICK""}","{""ImportId"":""QID46_PAGE_SUBMIT""}","{""ImportId"":""QID46_CLICK_COUNT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_FIRST_CLICK""}","{""ImportId"":""QID37_LAST_CLICK""}","{""ImportId"":""QID37_PAGE_SUBMIT""}","{""ImportId"":""QID37_CLICK_COUNT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID31_FIRST_CLICK""}","{""ImportId"":""QID31_LAST_CLICK""}","{""ImportId"":""QID31_PAGE_SUBMIT""}","{""ImportId"":""QID31_CLICK_COUNT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32_FIRST_CLICK""}","{""ImportId"":""QID32_LAST_CLICK""}","{""ImportId"":""QID32_PAGE_SUBMIT""}","{""ImportId"":""QID32_CLICK_COUNT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64_FIRST_CLICK""}","{""ImportId"":""QID64_LAST_CLICK""}","{""ImportId"":""QID64_PAGE_SUBMIT""}","{""ImportId"":""QID64_CLICK_COUNT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66_FIRST_CLICK""}","{""ImportId"":""QID66_LAST_CLICK""}","{""ImportId"":""QID66_PAGE_SUBMIT""}","{""ImportId"":""QID66_CLICK_COUNT""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68_FIRST_CLICK""}","{""ImportId"":""QID68_LAST_CLICK""}","{""ImportId"":""QID68_PAGE_SUBMIT""}","{""ImportId"":""QID68_CLICK_COUNT""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70_FIRST_CLICK""}","{""ImportId"":""QID70_LAST_CLICK""}","{""ImportId"":""QID70_PAGE_SUBMIT""}","{""ImportId"":""QID70_CLICK_COUNT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""Word""}","{""ImportId"":""TrainingType""}","{""ImportId"":""Emotions""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""NEcounterbalance""}","{""ImportId"":""DNcounterbalance""}"
11/4/19 19:53,11/4/19 19:56,Survey Preview,100,162,TRUE,11/4/19 19:56,R_eVaWWZQao6Acmg9,,,,,preview,EN,0,0,66.817,0,,,,,,,,,,,,,,,,,,,,,Touch,12.447,12.447,14.475,1,Stay away,4.326,4.326,5.838,1,,,,,,,,,,,,,,,,,,,,,Truck,13.86,13.86,19.859,1,,0,0,4.698,0,,0,0,5.889,0,Daxy,9.319,9.319,10.602,1,,,,,,626154,original,Proh,Incong_Pos_Neg,,bucket,zupy
11/7/19 18:29,11/7/19 18:31,Survey Preview,100,107,TRUE,11/7/19 18:31,R_sotetXdTqvQNhOF,,,,,preview,EN,,,,,,,,,,,,,10.792,49.548,62.226,2,,,,,,,,,,0,0,3.274,0,,0,0,1.412,0,,,,,,,,,,,,,,,,,,,,,,0,0,5.582,0,,0,0,6.278,0,,0,0,1.399,0,,0,0,1.484,0,,,,,,46212,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:34,11/7/19 18:37,Survey Preview,100,191,TRUE,11/7/19 18:37,R_3nPMAf0mm7i0WrW,,,,,preview,EN,,,,,,,,,,,,,,,,,,,,,0,0,147.666,0,,0,0,1.919,0,,0,0,2.033,0,,0,0,5.248,0,,0,0,2.818,0,,0,0,1.281,0,,0,0,3.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,218785,cb,Proh,Neutral,,truck,daxy
11/7/19 18:51,11/7/19 18:54,IP Address,100,177,TRUE,11/7/19 18:54,R_3gOgGm3QqfpECsB,,,,,anonymous,EN,8.51,56.953,61.848,5,,,,,,,,,,,,,,,,,,,,,Stay away,5.408,5.408,6.521,1,Touch,3.08,3.08,13.317,1,Truck,6.52,6.52,8.872,1,Truck,5.846,5.846,7.056,1,Daxy,3.453,4.556,12.536,2,Daxy,2.032,2.032,2.786,1,,,,,,,,,,,,,,,,,,,,,no,yes,Three,to see if you can learn a new language or not,,836426,original,Proh,Incong_Pos_Neg,,truck,daxy
11/7/19 18:51,11/7/19 18:54,IP Address,100,176,TRUE,11/7/19 18:54,R_2SAWwhYvpRKZqPD,,,,,anonymous,EN,,,,,,,,,,,,,,,,,0,0,74.701,0,,,,,Stay away,1.399,1.399,2.297,1,Stay away,3.342,3.342,4.099,1,Bucket,8.557,8.557,9.347,1,Truck,16.493,16.493,17.183,1,Daxy,1.211,1.211,1.83,1,Daxy,3.844,5.08,5.752,2,,,,,,,,,,,,,,,,,,,,,ok,touch,Three,decision making,very good,526368,cb,Proh,Incong_cb_Pos_Neg,,truck,daxy
11/7/19 18:51,11/7/19 18:54,IP Address,100,179,TRUE,11/7/19 18:54,R_3iO6nXXEf3a6guo,,,,,anonymous,EN,,,,,,,,,,,,,,,,,0,0,77.737,0,,,,,Stay away,3.17,6.178,7.126,2,Touch,3.304,3.992,4.579,2,,,,,,,,,,,,,,,,,,,,,Truck,12.672,19.635,21.506,2,Bucket,2.612,4.422,7.902,2,Daxy,2.638,4.186,4.825,2,Zupy,2.934,9.684,10.873,2,no,yes,Three,No idea.,,315556,cb,Proh,Incong_cb_Pos_Neg,,bucket,zupy
11/7/19 18:51,11/7/19 18:54,IP Address,100,187,TRUE,11/7/19 18:54,R_1ey0ZXGc2YQfl3r,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,0,0,69.409,0,Stay away,2.333,2.987,4.209,2,Touch,6.391,6.391,7.827,1,,,,,,,,,,,,,,,,,,,,,Truck,3.503,3.503,4.749,1,Bucket,13.88,13.88,17.363,1,Daxy,4.275,4.275,6.615,1,Zupy,3.119,3.119,4.013,1,no,yes,Three,I think you're probably testing something for use with children.,No.,720798,cb,Proh,Neutral,,bucket,zupy
11/7/19 18:51,11/7/19 18:54,IP Address,100,222,TRUE,11/7/19 18:54,R_0UodasOerXDNgfT,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,0,0,61.811,0,Touch,7.746,7.746,9.751,1,Touch,4.751,6.559,7.502,2,,,,,,,,,,,,,,,,,,,,,Bucket,4.121,14.338,15.351,2,Bucket,4.581,21.358,22.605,2,Zupy,10.079,23.376,25.742,2,Zupy,8.169,8.169,9.342,1,NO,YES,Three,I  don't know.,No,672313,cb,Proh,Neutral,,bucket,zupy
